post_title,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"PolyMide CoPA Natural (1.75mm, 750g)",Polymaker,simple,exclude-from-catalog|exclude-from-search,"Filamentos|Filamentos > Nylon",,,,
"PolyLite PETG Transparente 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PETG",,,Transparente,0|1|0
"PolyLite PETG Blanco 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PETG","PolyLite PETG|PolyLite PETG Blanco",,Blanco,0|1|0
"PolyLite PETG Negro 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PETG","PolyLite PETG|PolyLite PETG Negro",,Negro,0|1|0
"PolyLite ABS Negro 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > ABS","Filamento ABS|PolyLite ABS|PolyLite ABS Negro",,Negro,0|1|0
"PolyLite PLA Verde 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Verde,0|1|0
"PolyLite PLA Morado 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Morado,0|1|0
"PolyLite PLA Turquesa 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Turquesa,0|1|0
"PolyLite PLA Gris 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA","Filamento PLA|PolyLite PLA|PolyLite PLA Gris",,Gris,0|1|0
"PolyLite PLA Amarillo 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Amarillo,0|1|0
"PolyLite PLA Rojo 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Rojo,0|1|0
"PolyLite PLA Azul 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Azul,0|1|0
"PolyLite PLA Blanco 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA","Filamento PLA|PolyLite PLA|PolyLite PLA Blanco",,Blanco,0|1|0
"PolyLite PLA Negro 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA","Filamentos PLA|PolyLite PLA|PolyLite PLA Negro",,Negro,0|1|0
"PolyLite PLA Natural 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Natural,0|1|0
"PolySmooth Rojo Coral 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Rojo,0|1|0
"PolySmooth Transparente 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Transparente,0|1|0
"PolySmooth Azul Eléctrico 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Azul,0|1|0
"PolySmooth Blanco Nieve 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Blanco,0|1|0
"PolyWood Madera 1.75mm 600g",Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Beige,0|1|0
"PolyFlex Negro 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > TPU","Filamento TPU|PolyFlex Negro",,Negro,0|1|0
"PolyFlex Blanco 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > TPU","Filamento TPU|PolyFlex Blanco",,Blanco,0|1|0
"PolyMax PC Blanco 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Policarbonato",,,Blanco,0|1|0
"PolyMax PETG Blanco 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > PETG",,,Blanco,0|1|0
"PolyMax PLA Negro 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Reforzado",,,Negro,0|1|0
"PolyMax PLA Blanco 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Reforzado",,,Blanco,0|1|0
"Cabezal de impresion Anycubic",Anycubic,simple,exclude-from-catalog,"Repuestos|Repuestos > Hotends",,,,
"Plataforma caliente Anycubic",Anycubic,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Tanque de resina Anycubic",Anycubic,simple,,"Repuestos|Repuestos > Tanques",,,,
"Film FEP Anycubic 140x200mm",Anycubic,simple,,"Repuestos|Repuestos > Film FEP","Film FEP Anycubic|Film FEP Anycubic 140x200mm",,,
"Placa Principal Ender-3 V1.1.4",Creality,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Fuente de Alimentación",Creality,simple,,"Repuestos|Repuestos > Fuentes de Poder",,,,
"Ventilador axial 4010",Creality,simple,,"Repuestos|Repuestos > Ventiladores",,,,
"Bloque calentador MK8",Creality,simple,,"Repuestos|Repuestos > Hotends",,,,
"Bloque disipador",Creality,simple,,"Repuestos|Repuestos > Hotends",,,,
"Boquilla MK8 0.3mm",Creality,simple,,"Repuestos|Repuestos > Boquillas","Boquilla MK8|Boquilla MK8 de 0.3 mm",,,
"Boquilla MK8 0.4mm",Creality,simple,,"Repuestos|Repuestos > Boquillas","Boquilla MK8|Boquilla MK8 de 0.4 mm",,,
"Boquilla MK8 0.6mm",Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Boquilla MK8 0.8mm",Creality,simple,,"Repuestos|Repuestos > Boquillas","Boquilla MK8|Boquilla MK8 de 0.8 mm",,,
"Columna de aislamiento excentrica Creality",Creality,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Conector neumatico PC4-M6 Creality",Creality,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Motor paso a paso 42-40 Creality",Creality,simple,,"Repuestos|Repuestos > Motores",,,,
"Correa Sincrónica del eje X",Creality,simple,,"Repuestos|Repuestos > Correas",,,,
"Correa Sincrónica del eje Y",Creality,simple,,"Repuestos|Repuestos > Correas",,,,
"Fuente de Alimentación Meanwell",Creality,simple,,"Repuestos|Repuestos > Fuentes de Poder",,,,
"Limite de carrera Creality",Creality,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Tubo calefactor Creality",Creality,simple,,"Repuestos|Repuestos > Resistencias",,,,
"Termistor de extrusor Creality",Creality,simple,,"Repuestos|Repuestos > Termistores",,,,
"Base Magnética 235x235mm Creality",Creality,simple,,"Upgrades|Upgrades > PEIs","Plataforma Magnetica Flexible|Plataforma Magnetica Flexible 235x235mm",,,
"Tubo de teflon Capricorn Serie TL 0.5m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Creality Ender 3 V2",Creality,simple,exclude-from-catalog|outofstock,"Características|Características > Cartesiana|Impresoras 3D|Impresoras 3D > Filamento","Creality|Creality Ender 3 V2|Ender 3 V2|Impresoras 3D",,,
"Creality CR-6 SE",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Creality CR-6 SE",,,
"Creality Ender 5",Creality,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Filamento",,,,
"Creality Ender 5 Pro",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 5 Pro",,,
"Anycubic Chiron",Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Anycubic Chiron",,,
"Anycubic Photon",Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Photon Zero",Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Wash and Cure 2.0",Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Postprocesado","Anycubic Wash and Cure 2.0",,,
"Lapicero 3D MagiX Pro","Krear 3D",simple,,"Upgrades|Upgrades > Lapiceros 3D","Lapicero 3D MagiX Pro",,,
"Lapicero 3D MagiX Kids","Krear 3D",simple,,"Upgrades|Upgrades > Lapiceros 3D","Lapicero 3D MagiX Kids",,,
"PolyBox Edition II",Polymaker,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Polysher Black",Polymaker,simple,,"Upgrades|Upgrades > Accesorios",,,,
"HP 3D Scan Pro S3",HP,simple,,"Escáneres 3D|Escáneres 3D > Luz Estructurada",,,,
"HP Camara Dual Adicional",HP,simple,,"Escáneres 3D|Escáneres 3D > Accesorios",,,,
"HP Base Giratoria Automatica",HP,simple,,"Escáneres 3D|Escáneres 3D > Accesorios",,,,
"Matter and Form V2",,simple,exclude-from-catalog|exclude-from-search|outofstock,"Escáneres 3D|Escáneres 3D > Triangulación Láser",,,,
"XYZ 3D Scanner 1.0A",XYZPrinting,simple,exclude-from-catalog|outofstock,"Escáneres 3D|Escáneres 3D > Triangulación Láser",,,,
"Epilog Laser Zing 16 30W","Epilog Laser",simple,,"Cortadoras Láser|Cortadoras Láser > Profesional",,,,
"Tormach xsTECH CNC Router",Tormach,simple,,"Routers CNC|Routers CNC > Profesional",,,,
"Laguna Tools IQ Series",Laguna,simple,,"Routers CNC|Routers CNC > Profesional",,,,
"progeCAD Professional 2020",,simple,exclude-from-catalog|exclude-from-search,"Upgrades|Upgrades > Accesorios",,,,
"Dobot Magician",Dobot,simple,,"Routers CNC|Routers CNC > Robots",,,,
"Dobot Magician Lite",Dobot,simple,,"Routers CNC|Routers CNC > Robots",,,,
"Boquilla Volcano 0.4mm",Artillery,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Polea Dentada 2GT-20 8mm",Artillery,simple,,"Repuestos|Repuestos > Correas",,,,
"Kit Resortes para Plataforma (x4) Creality",Creality,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Placa principal Sidewinder Gen-L V1.0",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Placa principal Genius Gen-L V1.0",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Cama Termica de Silicona para Sidewinder X1",Artillery,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Driver FS31W01 con disipador de calor",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Motor paso a paso de 42-24 Artillery",Artillery,simple,,"Repuestos|Repuestos > Motores",,,,
"Motor paso a paso de 42-40 Artillery",Artillery,simple,,"Repuestos|Repuestos > Motores",,,,
"Motor paso a paso de 42-48 Artillery",Artillery,simple,,"Repuestos|Repuestos > Motores",,,,
"Cama Termica de Silicona para Genius",Artillery,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Plataforma de vidrio para Genius",Artillery,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Tubo de teflon PTFE","Krear 3D",simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Plataforma de vidrio para Sidewinder X1",Artillery,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Rueda en V",Artillery,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Creality Ender 6",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 6",,,
"Creality Ender 5 Plus",Creality,simple,,"Características|Características > Cartesiana|Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 5 Plus",,,
"Anycubic Photon S",Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Photon Mono",Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Mono",,,
"Anycubic Photon Mono X",Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Mono X",,,
"Anycubic Mega Pro",Anycubic,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento",,,,
"Kit tarjetas ejes para Sidewinder X1",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Kit tarjetas ejes para Genius",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Kit cables flat para Genius",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Kit cables flat para Sidewinder X1",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Kit sensores final de carrera para Sidewinder X1",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Kit pantalla tactil para Sidewinder X1",Artillery,simple,,"Repuestos|Repuestos > Pantallas",,,,
"Kit pantalla tactil para Genius",Artillery,simple,,"Repuestos|Repuestos > Pantallas",,,,
"Kit Extrusor Titan Artillery",Artillery,simple,,"Repuestos|Repuestos > Hotends",,,,
"PolyLite PLA Anaranjado 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Anaranjado,0|1|0
"Resina Estandar Transparente Anycubic 500g",Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Gris Anycubic 500g",Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Negra Anycubic 500g",Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Negra|Resina para impresoras 3D",,,
"Resina Estandar Verde Traslucida Anycubic 500g",Anycubic,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Turquesa Anycubic 500g",Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Blanca Anycubic 1Kg",Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Blanca|Resina para impresoras 3D",,,
"Resina Estandar Piel (Beige) Anycubic 1Kg",Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Piel|Resina para impresoras 3D",,,
"Resina Casteable Anycubic 500g",Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Resinas|Resinas > Casteable",,,,
"Resina Medica Anycubic 500g",Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Resinas|Resinas > Biocompatible",,,,
"Boquilla Volcano 0.4mm de Acero Endurecido",Artillery,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Boquilla MK8 0.4mm de Acero Endurecido",Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Aguja Limpiador de Boquillas 0.4mm X5","Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Extrusor ensamblado de Sidewinder X1",Artillery,simple,,"Repuestos|Repuestos > Hotends",,,,
"Extrusor ensamblado de Genius",Artillery,simple,,"Repuestos|Repuestos > Hotends",,,,
"Sensor de Filamento Artillery",Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Sensor de Autonivelado BLTouch",Creality,simple,exclude-from-catalog,"Upgrades|Upgrades > Sensores",,,,
"Artillery Hornet",Artillery,simple,exclude-from-catalog|outofstock,"Características|Características > Cartesiana|Impresoras 3D|Impresoras 3D > Filamento","Artillery|Artillery Hornet|Hornet|impresora 3D",,,
"Creality Ender 3 Max",Creality,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 3 Max",,,
"Boquilla Volcano 0.2mm",Artillery,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Boquilla Volcano 0.6mm",Artillery,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Boquilla Volcano 0.8mm",Artillery,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Ventilador de capa 4010",Creality,simple,,"Repuestos|Repuestos > Ventiladores",,,,
"Kit Extrusor de Metal",Creality,simple,,"Upgrades|Upgrades > Extrusores",,,,
"Placa silenciosa Ender 3 V2",Creality,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Kit HotEnd Artillery",Artillery,simple,,"Repuestos|Repuestos > Hotends",,,,
"Kit Termistor + Resistencia Artillery",Artillery,simple,,"Repuestos|Repuestos > Resistencias|Repuestos > Termistores",,,,
"Kit Boquillas Volcano",Artillery,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Kit Boquillas MK8",Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Creality CR-10 Max",Creality,simple,,"Características|Características > Cartesiana|Características > Gran Formato|Impresoras 3D|Impresoras 3D > Filamento","Creality CR-10 Max",,,
"Creality LD-002H",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality LD-006",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Creality|Creality LD-006|impresora 3D|LD-006",,,
"Creality CR-5 Pro H",Creality,simple,,"Características|Características > Core XY|Características > Cerrada|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","CR-5 Pro H|Creality|Creality CR-5 Pro H|impresora 3D",,,
"Creality CR-200B",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Creality CR-200B",,,
"Creality Sermoon D1",Creality,simple,,"Características|Características > Core XY|Características > Cerrada|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Creality Sermoon D1",,,
"Anycubic Photon Mono SE",Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality UW-01",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality CP-01",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Filamento","Creality CP-01",,,
"PolyTerra PLA Negro Carbón 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA","PolyTerra|PolyTerra PLA|PolyTerra PLA Negro Carbón",,Negro,0|1|0
"PolyTerra PLA Blanco Algodón 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA","PolyTerra PLA Blanco Algodón",,Blanco,0|1|0
"PolyTerra PLA Anaranjado Amanecer 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Anaranjado,0|1|0
"PolyTerra PLA Azul Zafiro 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Azul,0|1|0
"PolyTerra PLA Morado Lavanda 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Morado,0|1|0
"PolyTerra PLA Turquesa Ártico 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Turquesa,0|1|0
"PolyTerra PLA Rojo Lava 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Rojo,0|1|0
"PolyTerra PLA Gris Fósil 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > PLA","PolyTerra PLA Gris Fosil",,Gris,0|1|0
"PolyMax PETG Negro 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > PETG",,,Negro,0|1|0
"PolyMax PC Negro 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Policarbonato",,,Negro,0|1|0
"PolySmooth Negro 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Negro,0|1|0
"PolyMide CoPA Negro 1.75mm 750g",Polymaker,simple,,"Filamentos|Filamentos > Nylon",,,Negro,0|1|0
"PolyMide PA6-CF Negro 1.75mm 500g",Polymaker,simple,,"Filamentos|Filamentos > Reforzado",,,Negro,0|1|0
"PolyLite ASA Negro 1.75mm 1Kg",Polymaker,simple,,"Filamentos|Filamentos > Especiales",,,Negro,0|1|0
"Resina Estandar Gris Anycubic 1Kg",Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Gris|Resina para impresoras 3D",,,
"Resina Estandar Transparente Anycubic 1Kg",Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"XYZ PLA Fibra de Carbono (1.75mm, 600g)",Polymaker|XYZPrinting,simple,exclude-from-catalog|outofstock,"Filamentos|Filamentos > Reforzado",,,,
"Esun ABS+ Rojo (1.75mm, 1Kg)",Esun,simple,exclude-from-catalog,"Filamentos|Filamentos > ABS",,,,
"Esun ABS+ Azul (1.75mm, 1Kg)",Esun,simple,exclude-from-catalog,"Filamentos|Filamentos > ABS",,,,
"Esun ABS+ Gris (1.75mm, 1Kg)",Esun,simple,exclude-from-catalog,"Filamentos|Filamentos > ABS",,,,
"Esun ABS+ Verde (1.75mm, 1Kg)",Esun,simple,exclude-from-catalog,"Filamentos|Filamentos > ABS",,,,
"Esun ABS+ Negro (1.75mm, 1Kg)",Esun,simple,exclude-from-catalog,"Filamentos|Filamentos > ABS",,,,
"XYZ PLA Resistente (1.75mm, 600g)",XYZPrinting,simple,exclude-from-catalog|outofstock,"Filamentos|Filamentos > Reforzado",,,,
"Kit Ruedas Giratorias de Nivelacion (x4) Creality",Creality,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Base Magnética 310x310mm Creality",Creality,simple,,"Upgrades|Upgrades > PEIs","Plataforma Magnetica Flexible|Plataforma Magnetica Flexible 310x310mm",,,
"Film FEP Creality 140x200mm",Creality,simple,,"Repuestos|Repuestos > Film FEP",,,,
"Film FEP Anycubic 175x260mm",Anycubic,simple,,"Repuestos|Repuestos > Film FEP",,,,
"Resina Estandar Amarilla Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Roja Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Verde Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Anaranjada Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Azul Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Piel Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Blanca Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Gris Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Flexible Creality 1Kg",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Azul Traslucida 500g",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Verde Traslucida 500g",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Rojo Traslucida 500g",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Bajo Olor Transparente 500g",Creality,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Casteable Creality 500g",Creality,simple,,"Aplicaciones|Aplicaciones > Joyería|Resinas|Resinas > Casteable","Resina Casteable|Resina de impresoras 3D",,,
"Resina Estandar Negra Anycubic 1Kg",Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Creality CR-30",Creality,simple,,"Características|Características > Core XY|Características > Gran Formato|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Creality Halot Sky",Creality,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina",,,,
"Creality Halot One",Creality,simple,exclude-from-catalog|outofstock,"Impresoras 3D|Impresoras 3D > Resina","Creality Halot One",,,
"Creality CR-10 Smart",Creality,simple,,"Características|Características > Cartesiana|Impresoras 3D|Impresoras 3D > Filamento","Creality CR-10 Smart",,,
"Creality UW-02",Creality,simple,,"Impresoras 3D|Impresoras 3D > Resina",,,,
"Anycubic Wash and Cure Plus",Anycubic,simple,,"Impresoras 3D|Impresoras 3D > Postprocesado","Anycubic Wash and Cure Plus",,,
"Creality CR-Scan 01",Creality,simple,,"Escáneres 3D|Escáneres 3D > Triangulación Láser","Creality|Creality CR-Scan 01",,,
"Film FEP Anycubic Photon Mono 173X115.4mm",Anycubic,simple,,"Repuestos|Repuestos > Film FEP","Film FEP Anycubic Photon Mono|Film FEP Anycubic Photon Mono 173x115.4mm",,,
"Tubo de teflón Serie XS 0.5m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Tubo de teflon Capricorn Serie XS 1m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Tubo de teflon Capricorn Serie XS 2m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Tubo de teflon Capricorn Serie TL 1m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Tubo de teflon Capricorn Serie TL 2m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Cortador de tubos Capricorn",Capricorn,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Kit Capricorn Serie XS 1m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Kit Capricorn Serie TL 1m",Capricorn,simple,,"Upgrades|Upgrades > Tubos PTFE",,,,
"Kit universal de autonivelado BLTouch 8Bit Creality",Creality,simple,,"Upgrades|Upgrades > Sensores",,,,
"Kit universal de autonivelado BLTouch 32Bit Creality",Creality,simple,,"Upgrades|Upgrades > Sensores",,,,
