post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"Resina Estandar Verde Traslucida Anycubic 500g",resina-estandar-verde-traslucida500ml,,1328,"<p style=""text-align: left;"">La Resina Estandar Verde Traslucida es estable en diferentes condiciones climáticas y también es fácil de almacenar, superando las deficiencias de otras resinas. Cuenta con una solidificación de alta velocidad, fuerte adherencia del modelo y fácil de desprender después de imprimir.</p>

<ul>
 	<li>Composición química: Resina   Fotoiniciador</li>
 	<li>Viscosidad @25°C: 552.0 mpa.s</li>
 	<li>Capacidad: 500g</li>
 	<li>Longitud de onda de solidificación: 405 nm</li>
 	<li>Duración de almacenado: 12 meses</li>
 	<li>Dureza: 79D</li>
 	<li>Densidad líquida: 1.100 g/cm3</li>
 	<li>Densidad sólida: 1.184 g/cm3</li>
 	<li>Fuerza de tensión máx.: 23.4 Mpa</li>
 	<li>Elongación: 14.2%</li>
</ul>","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo</div>
<div class=""producto--valor"" title="""">Estándar</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Capacidad</div>
<div class=""producto--valor"">500g</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">L. de onda</div>
<div class=""producto--valor"">405nm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tiempo de exposición</div>
<div class=""producto--valor"">9s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Marca</div>
<div class=""producto--valor"">Anycubic</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">T. de almacenado</div>
<div class=""producto--valor"">12 meses</div>
</div>
</div>",publish,,1209,"2020-11-10 13:23:58",10,open,,,,no,no,1,110,80,1.5,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-verde-traslucida500ml.webp ! alt : Resina Estandar Verde Traslucida Anycubic 500g ! title : Resina Estandar Verde Traslucida Anycubic 500g ! desc : Resina Estandar Verde Traslucida Anycubic 500g ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-verde-traslucida500ml1.webp ! alt : Resina Estandar Verde Traslucida Anycubic 500g ! title : Resina Estandar Verde Traslucida Anycubic 500g ! desc : Resina Estandar Verde Traslucida Anycubic 500g ! caption : ",,https://tiendakrear3d.com/producto/resina-estandar-verde-traslucida500ml/,0,Anycubic,simple,exclude-from-catalog|outofstock,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Turquesa Anycubic 500g",resina-estandar-turquesa-500ml,,1330,"La Resina Estandar Turquesa Anycubic es estable en diferentes condiciones climáticas y también es fácil de almacenar, superando las deficiencias de otras resinas. Cuenta con una solidificación de alta velocidad, fuerte adherencia del modelo y fácil de desprender después de imprimir.
<ul>
 	<li>Composición química: Resina   Fotoiniciador</li>
 	<li>Viscosidad @25°C: 552.0 mpa.s</li>
 	<li>Capacidad: 500g</li>
 	<li>Longitud de onda de solidificación: 405 nm</li>
 	<li>Duración de almacenado: 12 meses</li>
 	<li>Dureza: 79D</li>
 	<li>Densidad líquida: 1.100 g/cm3</li>
 	<li>Densidad sólida: 1.184 g/cm3</li>
 	<li>Fuerza de tensión máx.: 23.4 Mpa</li>
 	<li>Elongación: 14.2%</li>
</ul>
<p style=""text-align: center;""><img class=""alignnone size-medium wp-image-1314"" src=""https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-turquesa-2.webp"" alt=""Resina Estandar Transparente"" width=""400"" height=""400"" /></p>

<h3 style=""text-align: center;""><strong>Resina Estandar Turquesa</strong></h3>","<pre><em>Tipo</em><em>Estándar</em></pre>
<pre><em>Capacidad</em><em>500g</em></pre>
<pre><em>L. de onda</em><em>405nm</em></pre>
<pre><em>Tiempo de exposición</em><em>9s</em></pre>
<pre><em>Marca</em><em>Anycubic</em></pre>
<pre><em>T. de almacenado</em><em>12 meses</em></pre>",publish,,1169,"2020-11-10 13:26:13",10,open,,,,no,no,,100,65,1.5,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-turquesa-2.webp ! alt : Resina Estandar Turquesa ! title : Resina Estandar Turquesa ! desc : Resina Estandar Turquesa ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-turquesa-1.webp ! alt : Resina Estandar Turquesa ! title : Resina Estandar Turquesa ! desc : Resina Estandar Turquesa ! caption : ",,https://tiendakrear3d.com/producto/resina-estandar-turquesa-500ml/,19,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estandar Blanca Anycubic 1Kg",resina-estandar-blanca-1000ml,,1332,"<a href=""https://tiendakrear3d.com/producto/resina-estandar-blanca-1000ml/""><strong> Resina Estandar Blanca</strong></a> es estable en diferentes condiciones climáticas y también es fácil de almacenar, superando las deficiencias de otras resinas. Cuenta con una solidificación de alta velocidad, fuerte adherencia del modelo y fácil de desprender después de imprimir.
<ul>
 	<li>Composición química: Resina   Fotoiniciador</li>
 	<li>Viscosidad @25°C: 552.0 mpa.s</li>
 	<li>Capacidad: 1Kg</li>
 	<li>Longitud de onda de solidificación: 405 nm</li>
 	<li>Duración de almacenado: 12 meses</li>
 	<li>Dureza: 79D</li>
 	<li>Densidad líquida: 1.100 g/cm3</li>
 	<li>Densidad sólida: 1.184 g/cm3</li>
 	<li>Fuerza de tensión máx.: 23.4 Mpa</li>
 	<li>Elongación: 14.2%</li>
</ul>
<p style=""text-align: center""><img class=""alignnone size-medium wp-image-1317"" src=""https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-blanca-1.webp"" alt=""Resina Estandar Blanca"" width=""400"" height=""400"" /></p>

<h4 class=""product_title entry-title"" style=""text-align: center"">Resina Estandar Blanca</h4>","<pre><em>Tipo</em><em>Estándar</em></pre>
<pre><em>Capacidad</em><em>1Kg</em></pre>
<pre><em>L. de onda</em><em>405nm</em></pre>
<pre><em>Tiempo de exposición</em><em>9s</em></pre>
<pre><em>Marca</em><em>Anycubic</em></pre>
<pre><em>T. de almacenado</em><em>12 meses</em></pre>",publish,,1076,"2020-11-10 13:27:29",10,open,,,,no,no,,170,120,1.5,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-blanca-1.webp ! alt : Resina Estandar Blanca ! title : Resina Estandar Blanca ! desc : Resina Estandar Blanca ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-blanca.webp ! alt : Resina Estandar Blanca ! title : Resina Estandar Blanca ! desc : Resina Estandar Blanca ! caption : ",,https://tiendakrear3d.com/producto/resina-estandar-blanca-1000ml/,70,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Blanca|Resina para impresoras 3D",,,
"Resina Estandar Piel (Beige) Anycubic 1Kg",resina-estandar-piel-1000ml,,1334,"<a href=""https://tiendakrear3d.com/producto/resina-estandar-piel-1000ml/""><strong>Resina Estandar Piel (Beige)</strong> </a> es estable en diferentes condiciones climáticas y también es fácil de almacenar, superando las deficiencias de otras resinas. Cuenta con una solidificación de alta velocidad, fuerte adherencia del modelo y fácil de desprender después de imprimir.
<ul>
 	<li>Composición química: Resina   Fotoiniciador</li>
 	<li>Viscosidad @25°C: 552.0 mpa.s</li>
 	<li>Capacidad: 1Kg</li>
 	<li>Longitud de onda de solidificación: 405 nm</li>
 	<li>Duración de almacenado: 12 meses</li>
 	<li>Dureza: 79D</li>
 	<li>Densidad líquida: 1.100 g/cm3</li>
 	<li>Densidad sólida: 1.184 g/cm3</li>
 	<li>Fuerza de tensión máx.: 23.4 Mpa</li>
 	<li>Elongación: 14.2%</li>
</ul>
<p style=""text-align: center""><img class=""alignnone size-medium wp-image-1307"" src=""https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-piel-1000ml1.webp"" alt=""Resina Estandar Piel"" width=""400"" height=""400"" /></p>

<h4 style=""text-align: center""><strong>Resina Estandar Piel (Beige)</strong></h4>","<pre><em>Tipo</em><em>Estándar</em></pre>
<pre><em>Capacidad</em><em>1Kg</em></pre>
<pre><em>L. de onda</em><em>405nm</em></pre>
<pre><em>Tiempo de exposición</em><em>9s</em></pre>
<pre><em>Marca</em><em>Anycubic</em></pre>
<pre><em>T. de almacenado</em><em>12 meses</em></pre>",publish,,1075,"2020-11-10 13:28:26",10,open,,,,no,no,,170,120,1.5,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-piel-1000ml1.webp ! alt : Resina Estandar Piel (Beige) Anycubic 1Kg ! title : Resina Estandar Piel (Beige) Anycubic 1Kg ! desc : Resina Estandar Piel (Beige) Anycubic 1Kg ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-estandar-piel-1000ml2.webp ! alt : Resina Estandar Piel (Beige) Anycubic 1Kg ! title : Resina Estandar Piel (Beige) Anycubic 1Kg ! desc : Resina Estandar Piel (Beige) Anycubic 1Kg ! caption : ",,https://tiendakrear3d.com/producto/resina-estandar-piel-1000ml/,62,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estandar|Resina Estandar Piel|Resina para impresoras 3D",,,
"Resina Casteable Anycubic 500g",resina-casteable-500ml,,1336,"La Resina Casteable es estable en diferentes condiciones climáticas y también es fácil de almacenar, superando las deficiencias de otras resinas. Cuenta con una solidificación de alta velocidad, fuerte adherencia del modelo y fácil de desprender después de imprimir.
<ul>
 	<li>Composición química: Resina   Fotoiniciador</li>
 	<li>Viscosidad @25°C: 552.0 mpa.s</li>
 	<li>Capacidad: 500g</li>
 	<li>Longitud de onda de solidificación: 405 nm</li>
 	<li>Duración de almacenado: 12 meses</li>
 	<li>Dureza: 79D</li>
 	<li>Densidad líquida: 1.100 g/cm3</li>
 	<li>Densidad sólida: 1.184 g/cm3</li>
 	<li>Fuerza de tensión máx.: 23.4 Mpa</li>
 	<li>Elongación: 14.2%</li>
</ul>","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo</div>
<div class=""producto--valor"" title="""">Casteable</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Capacidad</div>
<div class=""producto--valor"">500g</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">L. de onda</div>
<div class=""producto--valor"">405nm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tiempo de exposición</div>
<div class=""producto--valor"">9s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Marca</div>
<div class=""producto--valor"">Anycubic</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">T. de almacenado</div>
<div class=""producto--valor"">12 meses</div>
</div>
</div>",publish,,1210,"2020-11-10 13:34:07",10,open,,,,no,no,,750,650,1.5,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-medica-dental.jpg ! alt : Resina Casteable ! title : Resina Casteable ! desc : Resina Casteable ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-medica-dental2.jpg ! alt :  ! title : resina medica-dental2 ! desc :  ! caption : ",,https://tiendakrear3d.com/producto/resina-casteable-500ml/,2,Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Resinas|Resinas > Casteable",,,,
"Resina Medica Anycubic 500g",resina-medica-500ml,,1338,"<p style=""text-align: left"">La Resina Medica Anycubic es estable en diferentes condiciones climáticas y también es fácil de almacenar, superando las deficiencias de otras resinas. Cuenta con una solidificación de alta velocidad, fuerte adherencia del modelo y fácil de desprender después de imprimir.</p>
&nbsp;
<ul>
 	<li>Composición química: Resina   Fotoiniciador</li>
 	<li>Viscosidad @25°C: 552.0 mpa.s</li>
 	<li>Capacidad: 500g</li>
 	<li>Longitud de onda de solidificación: 405 nm</li>
 	<li>Duración de almacenado: 12 meses</li>
 	<li>Dureza 79D</li>
 	<li>Densidad líquida: 1.100 g/cm3</li>
 	<li>Densidad sólida: 1.184 g/cm3</li>
 	<li>Fuerza de tensión máx.: 23.4 Mpa</li>
 	<li>Elongación: 14.2%</li>
</ul>","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo</div>
<div class=""producto--valor"" title="""">Médica</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Capacidad</div>
<div class=""producto--valor"">500g</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">L. de onda</div>
<div class=""producto--valor"">405nm</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tiempo de exposición</div>
<div class=""producto--valor"">9s</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Marca</div>
<div class=""producto--valor"">Anycubic</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">T. de almacenado</div>
<div class=""producto--valor"">12 meses</div>
</div>
</div>",publish,,1208,"2020-11-10 13:36:52",10,open,,,,no,no,,300,,1.5,,,,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-casteable.jpg ! alt : Resina Medica ! title : Resina Medica ! desc : Resina Medica  ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/resina-casteable-2.jpg ! alt :  ! title : resina casteable 2 ! desc :  ! caption : ",,https://tiendakrear3d.com/producto/resina-medica-500ml/,2,Anycubic,simple,exclude-from-catalog|exclude-from-search|outofstock,"Resinas|Resinas > Biocompatible",,,,
"Boquilla Volcano de Acero Endurecido 0.4mm",boquilla-volcano-0-4mm-de-acero-endurecido,,1371,"Boquilla Volcano, repuesto para el sistema de extrusión de la marca Artillery, compatible con los modelos Sidewinder-X1 y Genius.
<ul>
 	<li>Compatible con fusor de extrusora tipo Volcano</li>
 	<li>Material: Acero endurecido para filamentos abrasivos.</li>
 	<li>Tamaño de la boquilla: 0,4 mm.</li>
 	<li>Diámetro de filamento: 1.75mm.</li>
 	<li>Rosca: M6.</li>
 	<li>️Filamentos: Materiales reforzados con fibras de carbono, fibras de vidrio, compuestos, filamentos que brillan en la oscuridad, etc.</li>
 	<li>Larga vida útil.</li>
</ul>","<ul>
 	<li>Tipo</li>
 	<li>Mecánica</li>
</ul>
<ul>
 	<li>Sistema</li>
 	<li>Extrusión</li>
</ul>
<ul>
 	<li>Categoría</li>
 	<li>Boquilla</li>
</ul>
<ul>
 	<li>Marca</li>
 	<li>Artillery</li>
</ul>
<ul>
 	<li>Compatibilidad</li>
 	<li>Sidewinder X2 / Genius Pro</li>
</ul>
<ul>
 	<li>Material</li>
 	<li>Acero Endurecido</li>
</ul>",publish,,274,"2020-11-10 18:23:13",10,open,,,,no,no,,35,,0.01,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/boquilla-volcano-0-4mm-de-acero-endurecido.webp ! alt : Boquilla Volcano 0.4mm de Acero Endurecido Artillery ! title : Boquilla Volcano 0.4mm de Acero Endurecido Artillery ! desc : Boquilla Volcano 0.4mm de Acero Endurecido Artillery ! caption : ",,https://tiendakrear3d.com/producto/boquilla-volcano-0-4mm-de-acero-endurecido/,12,Artillery,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Boquilla MK8 de Acero Endurecido 0.4mm",boquilla-mk8-0-4mm-de-acero-endurecido,,1372,"<strong>Boquilla MK8 0.4mm de Acero Endurecido</strong>, Repuesto para el sistema de extrusión, compatible con las máquinas de Anycubic y Creality.
<ul>
 	<li>Compatible con fusor de extrusora tipo E3D v6 o v5 y MK8</li>
 	<li>Material: Acero endurecido para filamentos abrasivos.</li>
 	<li>Tamaño de la boquilla: 0,4 mm.</li>
 	<li>Diámetro de filamento: 1.75mm.</li>
 	<li>Rosca: M6.</li>
 	<li>️Filamentos: Materiales reforzados con fibras de carbono, fibras de vidrio, compuestos, filamentos que brillan en la oscuridad, etc.</li>
 	<li>Larga vida útil.</li>
</ul>","<ul>
 	<li>Tipo</li>
 	<li>Mecánica</li>
</ul>
<ul>
 	<li>Sistema</li>
 	<li>Extrusión</li>
</ul>
<ul>
 	<li>Categoría</li>
 	<li>Boquilla</li>
</ul>
<ul>
 	<li>Marca</li>
 	<li>Creality</li>
</ul>
<ul>
 	<li>Compatibilidad</li>
 	<li>Anycubic / Creality</li>
</ul>
<ul>
 	<li>Material</li>
 	<li>Acero Endurecido</li>
</ul>",publish,,267,"2020-11-10 18:27:13",10,open,,,,no,no,1,25,,0.01,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2021/06/boquilla-mk8-0-6mm-de-acero-endurecido.webp ! alt : Boquilla MK8 de Acero Endurecido Creality ! title : Boquilla MK8 de Acero Endurecido Creality ! desc : Boquilla MK8 de Acero Endurecido Creality ! caption : ",,https://tiendakrear3d.com/producto/boquilla-mk8-0-4mm-de-acero-endurecido/,19,Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Aguja Limpiador de Boquillas 0.4mm x5",aguja-limpiador-de-boquillas-0-4mm,,1375,"<strong>Aguja Limpiador de Boquillas</strong>, herramienta para la limpieza y eliminación de obstrucciones de boquillas 0.4mm de diámetro.
<ul>
 	<li>Cantidad: 5 agujas</li>
 	<li>Diámetro: 0.4mm.</li>
 	<li>Compatible: toda boquilla de diámetro 0.4mm de acero y bronce.</li>
</ul>",,publish,,362,"2020-11-10 18:31:13",10,open,,,,no,no,,20,15,0.1,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/aguja-limpiador-de-boquillas-0-4mm.webp ! alt : Aguja Limpiador de Boquillas 0.4mm ! title : Aguja Limpiador de Boquillas 0.4mm ! desc : Aguja Limpiador de Boquillas 0.4mm ! caption : ",,https://tiendakrear3d.com/producto/aguja-limpiador-de-boquillas-0-4mm/,19,,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Extrusor ensamblado de Sidewinder X1",extrusor-ensamblado-de-sidewinder-x1,,1377,"Repuesto para el sistema de extrusión de la marca Artillery, compatible con el modelo Sidewinder X1.","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo</div>
<div class=""producto--valor"" title="""">Mecánica</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Sistema</div>
<div class=""producto--valor"">Extrusión</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Categoría</div>
<div class=""producto--valor"">Extrusor</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Marca</div>
<div class=""producto--valor"">Artillery</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Compatibilidad</div>
<div class=""producto--valor"">Artillery Sidewinder-X1</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Material</div>
<div class=""producto--valor"">-</div>
</div>
</div>",publish,,432,"2020-11-10 18:49:10",10,open,,,,no,no,,250,,1.5,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/extrusor-ensamblado-de-sidewinder-x1.webp ! alt : Extrusor ensamblado de Sidewinder X1 ! title : Extrusor ensamblado de Sidewinder X1 ! desc : Extrusor ensamblado de Sidewinder X1 ! caption : ",,https://tiendakrear3d.com/producto/extrusor-ensamblado-de-sidewinder-x1/,3,Artillery,simple,,"Repuestos|Repuestos > Hotends",,,,
"Extrusor ensamblado de Genius",extrusor-ensamblado-de-genius,,1380,"Repuesto para el sistema de extrusión de la marca Artillery, compatible con el modelo Genius.","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo</div>
<div class=""producto--valor"" title="""">Mecánica</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Sistema</div>
<div class=""producto--valor"">Extrusión</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Categoría</div>
<div class=""producto--valor"">Extrusor</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Marca</div>
<div class=""producto--valor"">Artillery</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Compatibilidad</div>
<div class=""producto--valor"">Artillery Genius</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Material</div>
<div class=""producto--valor"">-</div>
</div>
</div>",publish,,431,"2020-11-10 18:50:25",10,open,,,,no,no,,250,,1.5,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/extrusor-ensamblado-de-genius.webp ! alt : Extrusor ensamblado de Genius ! title : Extrusor ensamblado de Genius ! desc : Extrusor ensamblado de Genius ! caption : ",,https://tiendakrear3d.com/producto/extrusor-ensamblado-de-genius/,3,Artillery,simple,,"Repuestos|Repuestos > Hotends",,,,
"Sensor de Filamento Artillery",sensor-de-filamento,,1382,"Repuesto para el sistema de extrusión de la marca Artillery, compatible con los modelos Sidewinder-X1 y Genius.
<ul>
 	<li>Diámetro de filamento: 1.75mm.</li>
</ul>","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo</div>
<div class=""producto--valor"" title="""">Electrónico</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Sistema</div>
<div class=""producto--valor"">Extrusion</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Categoría</div>
<div class=""producto--valor"">Sensor</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Marca</div>
<div class=""producto--valor"">Artillery</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Compatibilidad</div>
<div class=""producto--valor"">Artillery, Sidewinder-X1 y Genius</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Material</div>
<div class=""producto--valor"">-</div>
</div>
</div>",publish,,1215,"2020-11-10 18:53:29",10,open,,,,no,no,,40,30,0.1,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/sensor-de-filamento.webp ! alt : Sensor de Filamento Artillery ! title : Sensor de Filamento Artillery ! desc : Sensor de Filamento Artillery ! caption : ",,https://tiendakrear3d.com/producto/sensor-de-filamento/,2,Artillery,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Sensor de Autonivelado BLTouch",sensor-de-autonivelado-bltouch,,1390,"Kit de upgrade para el sistema de nivelado, compatible con los siguientes modelos de la marca Creality: Ender 3, Ender 3 Pro, Ender 5, Ender 5 Pro, CR-10.
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">BLTouch es un sensor de nivelación automática para impresoras 3D basado en código abierto.</span></li>
 	<li><span class=""a-list-item"">Simple, inteligente, de alta precisión.</span></li>
 	<li>Alarma: La luz LED parpadea si se encuentra un problema en una autoprueba o en una operación.</li>
 	<li>Kit compuesto por todos los elementos de sujeción, instalacón y conexión.</li>
</ul>","<div class=""producto--tabla"">
<div class=""producto--tabla--item"">
<div class=""producto--label"">Tipo</div>
<div class=""producto--valor"" title="""">Mecánica</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Sistema</div>
<div class=""producto--valor"">Medición</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Categoría</div>
<div class=""producto--valor"">Sensor</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Marca</div>
<div class=""producto--valor"">Creality</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Compatibilidad</div>
<div class=""producto--valor"">Ender 3, Ender 3 Pro, Ender 5, Ender 5 Pro, CR-10</div>
</div>
<div class=""producto--tabla--item"">
<div class=""producto--label"">Material</div>
<div class=""producto--valor"">Plástico</div>
</div>
</div>",publish,,356,"2020-11-10 19:14:46",10,open,,,,no,no,,230,,0.5,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/sensor-de-autonivelado-bltouch.webp ! alt : Sensor de Autonivelado BLTouch ! title : Sensor de Autonivelado BLTouch ! desc : Sensor de Autonivelado BLTouch ! caption : ",,https://tiendakrear3d.com/producto/sensor-de-autonivelado-bltouch/,2,Creality,simple,exclude-from-catalog,"Upgrades|Upgrades > Sensores",,,,
"Artillery Hornet",artillery-hornet,,1408,"<a href=""https://tiendakrear3d.com/producto/artillery-hornet/"">Artillery Hornet </a>es una impresora 3D de estilo cartesiano todo en uno. Es una impresora 3D ultra silenciosa y tiene controladores 32bits paso a paso, tiene un extrusor tipo bowden, nozzle 0.4mm compatible E3D V6, eje Z doble, cama calefactada de corriente CA y pantalla táctil TFT.
<p style=""text-align: center;""><img class=""alignnone wp-image-1412 "" src=""https://tiendakrear3d.com/wp-content/uploads/2020/11/impresora-3d-artillery-hornet.webp"" alt=""Artillery Hornet"" width=""400"" height=""400"" /></p>

<h3 style=""text-align: center;"">Artillery Hornet</h3>","<p class=""k11-pdf"">Incluye: Capacitación virtual de 6 horas y 24 meses garantía</p>

<pre><em>Tecnología</em><em>FDM</em></pre>
<pre><em>Volumen de imp.</em><em>220x220x250mm</em></pre>
<pre><em>Resolución de capa</em><em>0.1-0.3mm</em></pre>
<pre><em>Velocidad max.</em><em>200/s</em></pre>
<pre><em>Tipo de extrusor</em><em>Bowden</em></pre>
<pre><em>Diámetro de boquilla</em><em>0.4mm</em></pre>",publish,,499,"2020-11-11 09:26:28",10,open,,,,no,no,,1200,850,24,,,,,,outofstock,no,no,,no,taxable,,1707|3889|1983|12368,,,,'-1,'-1,,,"https://tiendakrear3d.com/wp-content/uploads/2020/11/impresora-3d-artillery-hornet.webp ! alt : Artillery Hornet ! title : Impresora 3D Artillery Hornet ! desc : Impresora 3D Artillery Hornet ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/impresora-3d-artillery-hornet-side.webp ! alt : Artillery Hornet ! title : Impresora 3D Artillery Hornet ! desc :  ! caption :  | https://tiendakrear3d.com/wp-content/uploads/2020/11/impresora-3d-artillery-hornet-side1.webp ! alt : Artillery Hornet ! title : Impresora 3D Artillery Hornet ! desc : Impresora 3D Artillery Hornet ! caption : ",,https://tiendakrear3d.com/producto/artillery-hornet/,7,Artillery,simple,exclude-from-catalog|outofstock,"Características|Características > Cartesiana|Impresoras 3D|Impresoras 3D > Filamento","Artillery|Artillery Hornet|Hornet|impresora 3D",,,
